,lon,lat,rounded depth,rounded mab,barotropic,continuum,available E,E Error,N,N Error,coriolis frequency,eps_IGW,eps_IGW_mult_error,eps_IGW_add_error
0,-52.287,-63.4032,299,343,0.0008060317993601606,0.0003558763319463342,0.0003558763319463342,1.7083651142017352e-06,0.0016266415625528347,0.00046348868787951617,-0.00013040888916196358,5.574659059846539e-10,1.6177854703935242,3.1772279421770134e-10
1,-52.287,-63.4032,505,137,0.0008060317993601606,0.0005576059896644479,0.0007388980032720333,9.610383687834039e-07,0.001124626017497356,0.0002955403513840622,-0.00013040888916196358,4.4476721311005915e-09,1.5412107963438437,2.3375812502830224e-09
2,-52.287,-63.4032,614,28,0.0008060317993601606,0.0006449477338824844,0.0008500427088540805,1.298045687943751e-07,0.000625049467861655,0.0002757121038837048,-0.00013040888916196358,1.5069295547813608e-08,1.9772030063041732,1.3293873481618124e-08
3,-51.6357,-63.5145,1318,338,0.0004337931600726674,0.00036469958322737813,0.0004709662996837107,5.411707746327676e-07,0.0011064741849877947,0.0002286835466073367,-0.00013053548153710846,1.857117888179749e-09,1.4045808773669384,7.676437471425246e-10
4,-51.6357,-63.5145,1513,143,0.0004337931600726674,0.0005451430027603271,0.0005893547130568568,9.405011242390911e-07,0.0012113749225295628,0.0002741177515932332,-0.00013053548153710846,2.5045071170400848e-09,1.4543898479092303,1.1334748205019797e-09
5,-51.6357,-63.5145,1625,31,0.0004337931600726674,0.0004158054273873337,0.0004158054273873337,1.6036904140344435e-08,0.00048038995752833604,0.0003370207312212592,-0.00013053548153710846,5.370923376535999e-09,2.8134182516995114,7.535754679689134e-09
6,-50.8113,-63.656,2143,350,0.00023663855147497133,0.00031367447275564036,0.00045331352516794255,1.1719666649024545e-06,0.0010917319600004893,0.0001003136677619126,-0.00013069571207191771,1.7602298602487973e-09,1.162936115875511,3.235974937974801e-10
7,-50.8113,-63.656,2350,143,0.00023663855147497133,0.0004202800177415295,0.0005617906341665946,1.4294486755243285e-06,0.0014096245840344713,0.00013017785125876642,-0.00013069571207191771,1.7698065767024368e-09,1.1671480072798879,3.269978793082216e-10
8,-50.0897,-63.7783,2400,357,0.00019009854641210638,0.0005025697920847253,0.0005117049542405494,1.3051662743657718e-06,0.0009634857986529309,0.00015417525339956866,-0.0001308335588889634,2.7525276710576583e-09,1.2968460873092285,8.809992307743687e-10
9,-50.0897,-63.7783,2615,142,0.00019009854641210638,0.00041600662678986373,0.00044140969389091866,1.5602204058190827e-06,0.0013742112507516599,0.00024128028194143268,-0.0001308335588889634,1.1408689683116784e-09,1.340804490719267,4.00693876441374e-10
10,-50.0897,-63.7783,2724,33,0.00019009854641210638,0.0004919029402393007,0.0005083547605723594,8.618584485549686e-07,0.0010448249487965005,0.00043016642420338396,-0.0001308335588889634,2.3804227882032224e-09,1.960993476101053,1.9600646794569742e-09
11,-49.2682,-63.917,3036,353,0.00010067170533897826,0.00015777924707369005,0.00015777924707369005,3.407759792076446e-07,0.0008176759827363354,0.00024530366335152686,-0.00013098916907130167,3.411374404668798e-10,1.6149776435566623,2.0468310002542695e-10
12,-49.2682,-63.917,3299,90,0.00010067170533897826,0.00036347496872628714,0.00038160309715250273,2.3205727264368918e-06,0.001718925560534205,0.00013040505705070468,-0.00013098916907130167,5.856835209116255e-10,1.1376982456046427,8.914817426823966e-11
13,-49.2682,-63.917,3358,31,0.00010067170533897826,0.0003873211347299678,0.00040687415537527064,1.3032753873359795e-06,0.0013679129722270525,0.0006449772775897878,-0.00013098916907130167,9.775716207481536e-10,2.1969137160091314,9.218603577382417e-10
14,-48.3805,-64.0665,3835,40,9.852569910606053e-05,0.00021878191807714402,0.00022567981697410626,6.665407401887302e-07,0.002045351164106373,8.215318608415862e-05,-0.0001311560363563812,1.5253676747542433e-10,1.0713097430865424,1.2286374743649206e-11
15,-47.4903,-64.2157,4120,39,2.8926088446052986e-05,0.0001450679287935328,0.00016143618170510728,1.9812496797002922e-07,0.0014561129049178955,0.00011169012090443433,-0.0001313216785315546,1.3886233407522845e-10,1.1371933655746793,2.1304949338593696e-11
16,-47.4903,-64.2157,4160,0,2.8926088446052986e-05,0.00019107769860591606,0.00019107769860591606,2.1623545429595396e-07,0.0009432101140343733,0.0002955294198787745,-0.0001313216785315546,3.982016863469346e-10,1.6614615115533677,2.4952689893072504e-10
