bin_lats,bin_lons
-63.23516000000001,-53.5
-63.328178571428566,-53.0
-63.40990769230769,-52.5
-63.49388333333334,-52.0
-63.56036818181818,-51.5
-63.70472352941177,-51.0
-63.72188181818182,-50.5
-63.83598333333334,-50.0
-63.87091428571428,-49.5
-63.93330666666667,-49.0
-64.04645000000001,-48.5
-64.12974999999999,-48.0
-64.20353333333334,-47.5
-64.23353333333334,-47.0
